global_rank,entity_rank,entity_type,entity_name,hotspot_score,total_violations,parking_related_violations,peak_hour_violations,recency_weight_sum,location_diversity
2846,2626,Street/Location,BNG MD 87,0.63,1,1,0,0.693184972377615,1
2847,2625,Street/Location,Goli Vada Pav,0.63,1,1,0,0.6940020948250422,1
2848,2624,Street/Location,DLF Westend Avenue,0.63,1,1,0,0.684892422841356,1
2849,2628,Street/Location,Employees' State Insurance Corporation Model Hospital,0.63,1,1,0,0.6834542226292305,1
2850,2629,Street/Location,Azul system india pvt.,0.62,1,1,0,0.6678782383361693,1
2851,2630,Street/Location,Macca Masjid Road,0.6,1,1,0,0.6489889426126491,1
2852,2631,Street/Location,Horamavu,0.59,1,1,0,0.6328520578693333,1
2853,2632,Street/Location,Bengaluru Margadarshana,0.58,1,1,0,0.6182436151059327,1
2854,2634,Street/Location,Cookie Man,0.57,1,1,0,0.6088331028381545,1
2855,2633,Street/Location,Lake View Street,0.57,1,1,0,0.6048380153645473,1
2856,2635,Street/Location,Hosakerehalli Main Road,0.56,1,1,0,0.594792841265902,1
2857,2636,Street/Location,17th A Cross Road,0.54,1,1,0,0.5768235298888984,1
2858,2638,Street/Location,Chinna Swami Mudaliar Road,0.54,1,1,0,0.5691073490480582,1
2859,2637,Street/Location,14th E Cross Road,0.54,1,1,0,0.5769034831707754,1
2860,2639,Street/Location,Doddakallasandra Road,0.53,1,1,0,0.5559575147340265,1
2861,2643,Street/Location,Dosopanth Lane,0.53,1,1,0,0.5642899860250282,1
2862,2642,Street/Location,Rosé Restaurant And Patisserie,0.53,1,1,0,0.5557649088260719,1
2863,2641,Street/Location,17th C Cross Road,0.53,1,1,0,0.5549182352293595,1
2864,2640,Street/Location,Prestige Wellington Park Road,0.53,1,1,0,0.5639772303606568,1
2865,2644,Street/Location,Chowlu Gali,0.53,1,1,0,0.5642899860250282,1
2866,2645,Street/Location,BA Chelvaroya Mudaliar Road,0.52,1,1,0,0.5426099181443594,1
2867,2646,Street/Location,Manjunatha Nagar,0.51,1,1,0,0.5393233935287514,1
2868,2650,Street/Location,31st B Cross Road,0.5,1,1,0,0.5272391701975846,1
2869,2648,Street/Location,Cart Street,0.5,1,1,0,0.5257311071974108,1
2870,2647,Street/Location,H Siddaiah Cross Road,0.5,1,1,0,0.5298274984695887,1
2871,2649,Street/Location,Manipal Hospital Transfusion Services Blood Bank,0.5,1,1,0,0.5267643943240573,1
2872,2652,Street/Location,7th Cross Street,0.48,1,1,0,0.5061517770640725,1
2873,2651,Street/Location,2nd C Cross Road,0.48,1,1,0,0.503027972045586,1
2874,2654,Street/Location,Gover Road,0.47,1,1,0,0.48540295400273786,1
2875,2656,Street/Location,Raikars,0.47,1,1,0,0.48409282667701115,1
2876,2655,Street/Location,Belandur Road,0.47,1,1,0,0.48947900922724114,1
2877,2653,Street/Location,NGEF Main Road,0.47,1,1,0,0.4836345594075862,1
2878,2658,Street/Location,SRS Road,0.46,1,1,0,0.4806164155000364,1
2879,2657,Street/Location,B 15th Street,0.46,1,1,0,0.48030565331381586,1
2880,2659,Street/Location,Pahalwan Kodag Sabjan Street,0.46,1,1,0,0.4787990928176945,1
2881,2660,Street/Location,Sri Ayyappa Temple Road,0.46,1,1,0,0.4785005589309742,1
2882,2661,Street/Location,Deepanjali Nagara,0.46,1,1,0,0.47934135234473896,1
2883,2662,Street/Location,Jnana Sweekar Public School,0.45,1,1,0,0.46174559488112477,1
2884,2663,Street/Location,Jai Bheema Nagar,0.45,1,1,0,0.4670880944612682,1
2885,2664,Street/Location,GMR,0.44,1,1,0,0.4573719153100123,1
2886,2666,Street/Location,SJR Palazza City,0.44,1,1,0,0.451211947391963,1
2887,2665,Street/Location,Charles Campbell Road,0.44,1,1,0,0.4585037997362003,1
2888,2669,Street/Location,Garuda Mall,0.42,1,1,0,0.4315473676896009,1
2889,2668,Street/Location,11,0.42,1,1,0,0.4305218075790564,1
2890,2667,Street/Location,Kalyani Motors,0.42,1,1,0,0.4268479577520824,1
2891,2673,Street/Location,Royal Residency Layout,0.41,1,1,0,0.4182006239496813,1
2892,2671,Street/Location,Additional Director General of Police,0.41,1,1,0,0.4210893647544861,1
2893,2672,Street/Location,Dewan Madhava Rao Road,0.41,1,1,0,0.41782403666677714,1
2894,2674,Street/Location,557,0.41,1,1,0,0.4206130033501167,1
2895,2670,Street/Location,Malabar Gold and Diamonds,0.41,1,1,0,0.4181523245669582,1
2896,2676,Street/Location,Sathya Pramoda Tirtha Road,0.4,1,1,0,0.4089247603035893,1
2897,2678,Street/Location,66,0.4,1,1,0,0.4088208657223618,1
2898,2677,Street/Location,Panathuru,0.4,1,1,0,0.4084527248583839,1
2899,2675,Street/Location,MCHS Colony,0.4,1,1,0,0.41111265594049695,1
2900,2679,Street/Location,Gopizza,0.39,1,1,0,0.4015485224383236,1
2901,2681,Street/Location,Embassy Diamante,0.39,1,1,0,0.40194757874416537,1
2902,2680,Street/Location,Cycle World,0.39,1,1,0,0.40209616602650744,1
2903,2684,Street/Location,Rajaji Nagar 6th Block Circle,0.38,1,1,0,0.3839951333662924,1
2904,2682,Street/Location,Udayavani,0.38,1,1,0,0.383915309076088,1
2905,2683,Street/Location,Gulmohar Enclave Road,0.38,1,1,0,0.3902367783926469,1
2906,2686,Street/Location,Jayamahal,0.37,1,1,0,0.37543459651717365,1
2907,2687,Street/Location,New Bamboo Bazaar Road,0.37,1,1,0,0.3803579104261512,1
2908,2685,Street/Location,8th G Cross Road,0.37,1,1,0,0.38058642200231035,1
2909,2688,Street/Location,Basavanapura,0.36,1,1,0,0.3676249566599479,1
2910,2690,Street/Location,Shakambari Nagar,0.35,1,1,0,0.35791315707894866,1
2911,2691,Street/Location,Basaveswara Swamy Temple Road,0.35,1,1,0,0.357780896819294,1
2912,2689,Street/Location,Bay 3,0.35,1,1,0,0.35917207061130296,1
2913,2693,Street/Location,83rd Street,0.34,1,1,0,0.34173004353715875,1
2914,2692,Street/Location,Ramraj Cotton,0.34,1,1,0,0.3498370865017467,1
2915,2694,Street/Location,Santrina Hotels,0.33,1,1,0,0.3351630329560131,1
2916,2695,Street/Location,Rickshaw Stand,0.32,1,1,0,0.3244822642356262,1
2917,2700,Street/Location,6th G Cross Road,0.31,1,1,0,0.31178507210872697,1
2918,2696,Street/Location,Taj Yeshwantpur,0.31,1,1,0,0.31700672208951053,1
2919,2698,Street/Location,Akash Auto Consultants,0.31,1,1,0,0.30886749896081783,1
2920,2699,Street/Location,Bombay Dyeing,0.31,1,1,0,0.3117202587298198,1
2921,2697,Street/Location,Suvarnamukhi,0.31,1,1,0,0.3115618827410807,1
2922,2704,Street/Location,Blue Dart Express,0.3,1,1,0,0.30517957656870404,1
2923,2701,Street/Location,Seema Art Jewellery,0.3,1,1,0,0.30237968988832714,1
