global_rank,entity_rank,entity_type,entity_name,hotspot_score,total_violations,parking_related_violations,peak_hour_violations,recency_weight_sum,location_diversity
1,1,Junction,Safina Plaza,99.24,15449,16163,9270,3980.7384763749874,111
2,1,Street/Location,Outer Ring Road,98.62,8830,13088,3786,2574.7499547574016,163
3,1,Police Station,Upparpet,96.26,34468,35483,16755,8826.387646168683,233
4,2,Junction,KR Market,95.87,11538,11925,4712,3401.8299678314806,150
5,2,Street/Location,1st Cross Road,94.76,6149,6700,2638,1611.638977858509,277
6,3,Street/Location,1st Main Road,94.65,5824,6114,2789,1474.726836926544,331
7,3,Junction,Sagar Theatre,93.95,10549,10993,5807,2693.7683161068853,85
8,2,Police Station,Shivajinagar,93.72,28044,29305,15238,7451.625937365546,283
9,4,Junction,Elite,92.78,10718,10855,5942,2863.6376967708775,50
10,4,Street/Location,MBT Road,92.19,6429,9038,1737,1745.215613124135,69
11,3,Police Station,HAL Old Airport,91.64,20819,29818,9617,5262.5597191088655,511
12,5,Street/Location,Mysore Road,91.51,5973,6694,2044,1673.035221173994,74
13,4,Police Station,Malleshwaram,91.41,22200,22596,13071,6314.845757138335,436
14,6,Street/Location,5th Main Road,91.12,4975,5124,2654,1398.6349215523853,108
15,7,Street/Location,80 Feet Ring Road,89.97,5679,5870,3163,1758.4190309571768,25
16,8,Street/Location,New Horizon College Road,89.24,6291,8862,3020,1570.2950804109555,8
17,9,Street/Location,3rd Cross Road,88.92,3810,4101,1795,1101.5915558350111,163
18,10,Street/Location,Chord Road,88.71,4680,4948,2292,1222.9315272786598,49
19,11,Street/Location,Unnamed Road,87.24,5071,6167,1009,1422.9184101456788,35
20,12,Street/Location,Hosur Road,86.75,3580,4474,941,964.7120511915057,131
21,13,Street/Location,6th Main Road,86.4,3449,3505,1992,953.7317330844307,67
22,14,Street/Location,Bellary Road,86.35,4061,4204,1356,1028.210687060298,54
23,15,Street/Location,Subedar Chatram Road,86.05,4974,5159,2039,1264.02394238288,11
24,16,Street/Location,Kamaraj Road,85.94,4551,4755,2613,1324.28319862932,10
25,17,Street/Location,Sri Venkataranga Ayangar Road,85.55,4223,4244,2713,1159.9553082208838,12
26,5,Junction,Central Street,85.35,5388,5749,2416,1386.9234125708408,70
27,5,Police Station,City Market,84.91,17646,18438,7429,5004.984864414326,354
28,18,Street/Location,Sahakar Nagar Road,84.8,4715,4880,1798,1505.1102824126997,7
29,6,Junction,Modi Bridge,84.1,4584,4685,2622,1144.874368200506,76
30,19,Street/Location,2nd Main Road,83.9,2603,2786,881,621.2268269277497,174
31,7,Junction,Subbanna,83.86,5189,5269,1597,1404.0001675843118,68
32,20,Street/Location,4th Main Road,83.45,2463,2861,1021,629.9482797385621,123
33,21,Street/Location,AS Char Main Road,83.37,3625,4047,1993,890.9972757382013,10
34,22,Street/Location,ITPL Main Road,83.1,3032,3247,1241,663.7419911853278,41
35,8,Junction,"NR Road, SP Road",82.18,3681,3831,2204,982.107178161951,87
36,23,Street/Location,G Narayana Kumar Road,82.18,2926,3102,1089,780.862294196045,31
37,24,Street/Location,Old Madras Road,81.86,2417,3487,948,675.9269692522018,44
38,25,Street/Location,2nd Cross Road,81.68,1873,2120,774,554.2359202003579,212
39,9,Junction,Anand Rao,81.59,3935,4118,1516,1009.8973426343102,78
40,26,Street/Location,3rd Main Road,81.49,2042,2099,1011,577.8826200950461,113
41,10,Junction,Hosahalli Metro Station,81.43,4101,4189,1864,811.3215786507677,61
42,6,Police Station,Vijayanagara,81.09,14652,15269,6182,3362.064754166835,375
43,27,Street/Location,Palace Road,80.91,2958,2992,1061,438.52606739866224,25
44,28,Street/Location,Whitefield Road,80.91,1978,3587,799,642.3753003961951,51
45,29,Street/Location,Dispensary Road,80.23,2924,3076,1926,764.8084694988311,5
46,30,Street/Location,20th Main Road,80.07,2294,2543,928,666.9561117852402,32
47,31,Street/Location,Da Ra Bendre Road,79.71,2698,2754,1478,903.5437096599583,7
48,32,Street/Location,5th Cross Road,79.61,1898,1967,574,558.1645204859719,115
49,33,Street/Location,Mumbai Bengaluru Highway,79.41,2007,2684,648,482.25694790282415,55
50,34,Street/Location,Padmabhushan Dr MC Modi Road,79.29,2551,2717,1314,713.3411160282681,9
51,35,Street/Location,Kempegowda Road,79.01,2135,2205,1296,499.6678239810889,21
52,36,Street/Location,Y Ramachandra Road,79.0,2805,2854,1454,675.1749020858733,5
53,37,Street/Location,Dickenson Road,78.96,2296,2444,1310,659.6201346048197,12
54,38,Street/Location,19th Main Road,78.94,2037,2046,1464,515.5153441406985,21
55,39,Street/Location,Silver Jubilee Park Road,78.4,2448,2527,1416,580.8137520294429,7
56,40,Street/Location,Main Guard Cross Road,77.68,2566,2636,1548,630.0030543933481,3
57,11,Junction,"AS Char Street, Mysore Road",77.66,2778,3385,1005,725.0557018431037,69
58,12,Junction,Danvanthri Road,77.65,3181,3322,1323,710.5383795664992,43
59,7,Police Station,Rajajinagar,77.63,10998,11848,4535,2946.259928910773,544
60,41,Street/Location,Major T Ramachandrappa Road,77.29,2455,2578,993,558.0884297626823,6
61,13,Junction,"10th Cross, Dr. Rajkumar Road",77.24,2812,2842,1280,840.2242035693966,53
62,42,Street/Location,Dr Rajkumar Puniya Bhoomi Road,77.13,1449,1851,555,384.91894960195435,83
63,43,Street/Location,Meenakshi Koil Street,76.23,2223,2349,1060,612.1910916331381,4
64,44,Street/Location,10th Cross Road,76.16,1519,1540,887,267.1330725569768,42
65,45,Street/Location,7th Cross Road,75.96,1471,1517,448,284.03691227413844,94
66,46,Street/Location,12th Main Road,75.9,1462,1811,666,387.5719620376196,35
67,47,Street/Location,Cunningham Road,75.75,1826,1888,825,483.4941373666146,12
68,8,Police Station,Kodigehalli,75.4,10916,11481,3698,3425.418916097077,383
69,48,Street/Location,80 Feet Road,75.4,1373,1493,463,429.7320060676651,61
70,49,Street/Location,4th Cross Road,75.21,1247,1357,329,367.0735478702625,133
71,50,Street/Location,17th Cross Road,75.16,1685,1729,532,359.76659896933313,26
72,14,Junction,Windsor Circle,75.02,2749,2881,1028,385.3476897424623,41
73,51,Street/Location,Sri Sankasta Hara Ganapati Temple Road,74.78,2251,2298,593,355.3869228298807,6
74,52,Street/Location,Central Street,74.66,1743,1810,810,406.7124128450238,9
75,53,Street/Location,Sarjapura Main Road,74.62,1228,1408,595,320.2847512550393,50
76,54,Street/Location,Vajreshwari Road,74.59,2121,2149,710,513.6292186147718,4
77,15,Junction,Mysore Bank,74.29,2021,2092,1138,394.6811873234768,73
78,55,Street/Location,9th Main Road,74.2,1256,1290,378,423.2758303327323,64
79,56,Street/Location,Neeladri Road,74.13,1859,1894,257,650.6233352274651,18
80,57,Street/Location,Domlur Inner Ring Road,73.93,1263,1521,669,272.571466402328,28
81,16,Junction,"Cholurpalya Junction, Magadi Road",73.89,2272,2343,950,561.818484452842,43
82,17,Junction,Mahalaxmi Layout Entrance,73.54,1807,1856,1134,576.04697219988,64
83,18,Junction,"5th Main Road, RPC Layout",73.2,2474,2531,726,394.6418409641302,39
84,58,Street/Location,Kadubeesanahalli Underpass,73.07,1147,2279,900,265.0821761021773,8
85,59,Street/Location,Hospital Road,72.95,1418,1468,701,235.24526018617868,14
86,60,Street/Location,Avenue Road,72.83,1379,1423,689,324.0425347790349,12
87,19,Junction,Upparpet,72.72,1786,1814,979,416.5081909080107,66
88,61,Street/Location,15th Cross Road,72.6,1287,1350,479,221.17146287088946,28
89,62,Street/Location,Old Airport Road,72.55,1156,1431,488,303.60001609499795,25
90,63,Street/Location,Kalasipalyam Main Road,72.13,1465,1678,624,421.18727073236244,5
91,20,Junction,Tagore Park,71.68,1801,1891,627,545.8327163850076,54
92,64,Street/Location,Sri DV Gundappa Road,71.54,1388,1452,496,433.8812224447152,7
93,65,Street/Location,Bannerghatta Main Road,71.07,853,884,396,302.17869959032015,60
94,21,Junction,Minsk Square Junction (CTO),71.03,2044,2115,855,503.1740519866265,22
95,66,Street/Location,Konanakunte Main Road,71.01,1031,1111,276,275.90750925346197,46
96,68,Street/Location,Pailwan M Krishnappa Road,70.86,1529,1594,869,435.27047055974344,1
97,67,Street/Location,Rao Bahadur DGT Road,70.86,1296,1758,516,299.02657816593427,5
98,69,Street/Location,KR Main Road,70.79,1442,1477,204,526.0212405679861,12
99,70,Street/Location,HAL Airport Road,70.69,954,1382,276,202.46761247804105,41
100,71,Street/Location,Mahatma Gandhi Road,70.59,1137,1251,365,262.28134871628066,18
101,9,Police Station,Magadi Road,70.49,8558,9296,3080,2386.7563182083845,353
102,72,Street/Location,8th Main Road,70.19,888,965,289,208.47201601229293,58
103,22,Junction,Shanthala,69.88,1593,2127,622,359.9643087042601,35
104,73,Street/Location,BGS Flyover,69.84,1114,1172,219,378.61475759224345,21
105,74,Street/Location,Panathur Main Road,69.68,936,1373,410,186.14966520330125,16
106,75,Street/Location,11th Main Road,69.55,715,1043,457,170.4162345361797,38
107,76,Street/Location,WOC Road,69.04,1058,1064,613,307.83272306451556,5
108,23,Junction,Medical College Circle,68.79,1508,1605,478,458.7741557772167,41
109,24,Junction,"19th Main Junction, Rajajinagar",68.75,1390,1412,960,390.96032328967317,31
110,77,Street/Location,Dr Siddaiah Puranik Marg,68.27,885,922,439,269.85244766353014,11
111,10,Police Station,Jeevanbheemanagar,67.77,6736,9106,3408,1566.8143161983282,335
112,78,Street/Location,Srinivagilu Main Road,67.55,848,915,191,345.4300709150374,21
113,79,Street/Location,Siddavanahalli Krishna Sharma Road,67.54,859,872,583,207.19781941104512,7
114,25,Junction,Navarang Theatre,66.95,1190,1197,717,366.3755847951338,34
115,11,Police Station,Mahadevapura,66.88,6187,10112,2435,1826.4593190216146,342
116,80,Street/Location,6th Cross Road,66.68,559,613,228,121.59132556000164,96
117,81,Street/Location,Pipeline Road,66.66,742,757,314,121.17580836612359,25
118,83,Street/Location,9th Cross Road,66.61,637,664,161,191.44373380976788,71
119,82,Street/Location,Pusa Thippasandra Main Road,66.61,915,1078,502,194.5933820869397,3
120,84,Street/Location,Hospital Cross Road,66.43,1043,1100,744,144.21077362623123,1
121,85,Street/Location,Infantry Road,66.41,799,853,395,169.03434266118612,9
122,86,Street/Location,14th Main Road,66.23,709,725,227,156.88424977596964,30
123,26,Junction,"Marenahalli Junction, Vijayanagar",66.1,1157,1222,530,250.50097482124875,40
124,27,Junction,"1st Block Junction, Rajajinagar",66.08,1086,1087,767,245.20360302868792,37
125,87,Street/Location,18th Cross Road,66.07,647,651,349,177.84670793678526,21
126,28,Junction,UCO Bank,65.84,1112,1249,523,332.9634252307302,33
127,88,Street/Location,Whitefield Main Road,65.74,487,665,273,132.70556923009633,53
128,29,Junction,Siddalingaiah Circle,65.74,1060,1111,531,251.08111746328885,46
129,89,Street/Location,GP Rajarathnam Road,65.71,776,780,367,260.62463783848705,6
130,30,Junction,Bhashyam Circle,65.5,1030,1036,524,293.8033343720796,45
131,90,Street/Location,Commercial Street,65.36,935,955,374,242.4389621217136,2
132,91,Street/Location,7th Main Road,65.32,557,619,233,132.99347506944176,43
133,92,Street/Location,Lalbagh Main Road,65.28,698,717,296,207.59385244300688,11
134,93,Street/Location,Tippu Sultan Palace Road,65.23,913,936,247,247.65835111279824,4
135,31,Junction,Leprosy Hospital,65.23,1047,1203,373,327.8155146869431,42
136,32,Junction,MC Circle,65.22,1075,1151,435,320.77526796372376,37
137,94,Street/Location,Marathahalli Underpass,65.21,709,824,367,170.5393525501308,7
138,96,Street/Location,Amrutha College Road,65.21,659,689,219,140.4547696508183,25
139,95,Street/Location,Magadi Main Road,65.21,602,678,216,189.8308189087373,26
140,97,Street/Location,8th Cross Road,65.18,514,542,240,136.2359645985917,55
141,98,Street/Location,10th Main Road,65.11,592,605,157,174.55239747442093,48
142,99,Street/Location,17th Main Road,64.89,867,906,61,270.4698571341231,25
143,100,Street/Location,Dr Ambedkar Road,64.76,766,835,254,150.97025692202868,8
144,12,Police Station,Halasuru Gate,64.75,6294,6548,3503,1557.4133362415337,285
145,33,Junction,"RR Kalyana Mantapa, Dr. Rajkumar Road",64.49,1208,1285,218,359.32932564902273,35
146,101,Street/Location,Bengaluru Bellary Road,64.39,705,961,194,115.72979847703775,11
147,34,Junction,Rajajinagar Entrance,64.06,957,1052,370,226.90844092880283,45
148,102,Street/Location,Seshadri Road,63.83,676,713,220,150.11527564451055,10
149,103,Street/Location,Ayyappa Temple Road,63.54,707,771,317,205.98897126200086,3
150,104,Street/Location,Veera Pillai Road,63.53,765,837,372,281.4293393582808,1
151,105,Street/Location,Coles Road,63.31,885,903,101,174.37533741459154,7
152,35,Junction,Modi Hospital,63.12,1045,1127,534,278.15599283382016,15
153,13,Police Station,K.R. Pura,63.03,6546,8543,1580,1810.134587668589,236
154,36,Junction,Shivananda Circle,62.99,751,796,438,163.7913303983466,66
155,106,Street/Location,Gangadhara Chetty Road,62.87,553,564,333,171.34526908490636,7
156,37,Junction,Gali Anjaneya Temple,62.76,972,1206,230,240.02434872699519,33
157,107,Street/Location,Veera Pillai Street,62.45,581,585,408,190.44440202111446,3
158,108,Street/Location,11th Cross Road,62.29,420,449,173,111.79102516124621,43
159,109,Street/Location,Brigade Road,62.25,676,728,183,79.70417139467189,8
160,110,Street/Location,BB Naidu Road,62.22,632,646,394,160.2909300938059,2
161,38,Junction,"17th Main, Doopanahalli Bus Stop",61.81,745,1096,347,148.06131742806542,36
162,111,Street/Location,Queens Road,61.78,563,586,209,126.8133666610066,8
163,39,Junction,Havanur Circle,61.63,812,881,383,260.3640423029077,26
164,112,Street/Location,St John Road,61.59,493,501,275,170.9677648147518,7
165,113,Street/Location,Vibgyor High School Road,61.3,388,762,213,158.38530008863444,8
166,40,Junction,Vijayanagar Bus Stand,61.03,754,774,373,184.8359909620275,34
167,41,Junction,Prasanna,60.59,721,743,280,191.75550578049354,42
168,114,Street/Location,Sir CV Raman Hospital Road,60.48,381,620,220,83.82789656142069,11
169,115,Street/Location,Narasimha Raj Wadiyar Road,60.19,488,524,192,162.96754372596055,5
170,116,Street/Location,Kadidal Manjappa Road,60.11,530,532,178,103.33559984847628,6
171,117,Street/Location,Sri Dharmaraya Swamy Temple Main Road,60.09,434,446,266,77.78786056372356,9
172,118,Street/Location,Kasturba Road,60.07,428,433,176,141.93903765387392,11
173,42,Junction,"Shankara Mutt Circle, Vijayanagar",59.97,719,735,335,180.69251375793974,29
174,43,Junction,"NPS, Vijayanagar",59.93,632,658,258,290.0578786273079,42
175,119,Street/Location,Hosapalya Main Road,59.9,625,632,73,127.45959009840189,8
176,120,Street/Location,Chinmaya Mission Hospital Road,59.86,339,662,247,81.5264342509601,8
177,44,Junction,GD Mara,59.86,631,654,348,309.36488821160515,30
178,45,Junction,Nanjappa Circle,59.8,776,779,289,212.78416695276482,23
179,121,Street/Location,Gandhi Bazar Road,59.41,438,463,194,128.6849719347038,6
180,122,Street/Location,Sri Narasimha Raj Wadiyar Road,59.36,412,430,250,139.74067727512943,5
181,123,Street/Location,Vatal Nagaraj Road,59.21,423,427,213,100.20253769564826,7
182,124,Street/Location,Millers Road,59.19,365,377,207,94.824316218896,13
183,125,Street/Location,Old Tharagupete Cross Road,59.18,399,412,193,129.76825763969902,8
184,46,Junction,"Satellite Bus Stand, Mysore Road",58.97,775,850,288,143.35847186610403,18
185,47,Junction,"33rd Cross, 11th Main, Jayanagar",58.86,492,836,308,131.22595850877792,40
186,126,Street/Location,Bhadrappa Flyover,58.84,454,455,162,178.9085092472967,4
187,127,Street/Location,Old Mysore Road,58.75,409,415,157,105.58774672408161,9
188,48,Junction,"10th Cross, Wilson Garden",58.67,535,537,222,231.0416511025941,58
189,14,Police Station,Bellandur,58.53,4964,5440,1695,1229.4617222710813,281
190,128,Street/Location,SP Road,58.46,390,397,268,85.92595689620313,5
191,49,Junction,Urvashi Theater,58.37,625,635,285,177.87779876064786,28
192,129,Street/Location,J Lingaiah Road,58.33,336,341,186,107.92040732210137,12
193,130,Street/Location,Kengeri Main Road,58.29,312,381,111,72.51925371311648,30
194,131,Street/Location,Walton Road,57.98,438,447,241,110.02259204399826,2
195,50,Junction,Basappa Circle,57.97,653,714,232,163.0751159489617,24
196,132,Street/Location,Grant Road,57.71,387,422,216,64.09456648723297,5
197,133,Street/Location,MS Ramaiah Road,57.66,320,502,99,92.75870809970361,13
198,134,Street/Location,Shri Ramalingeshwara Cave Temple Road,57.65,386,388,176,146.15213718976133,4
199,51,Junction,"New Diagonal Road, Jayanagar",57.6,602,607,333,149.28514277616733,22
200,135,Street/Location,Police Road,57.59,424,437,121,120.9557927475504,5
201,15,Police Station,HSR Layout,57.53,5018,5155,1291,1095.3759752865772,316
202,136,Street/Location,Field Marshal KM Cariappa Road,57.49,313,486,133,67.91428238071151,11
203,137,Street/Location,Sri Sri Sri Tiruchi Mahaswamiji Road,57.48,326,365,150,89.18835262556583,11
204,52,Junction,Madiwala Traffic PS,57.36,596,649,165,191.8096692989241,32
205,138,Street/Location,Pramukh Swami Maharaj Road,57.21,320,327,129,172.74264625538268,9
206,139,Street/Location,Golf Avenue Road,57.12,421,429,142,122.18978852862126,3
207,140,Street/Location,24th Main Road,57.03,282,326,105,77.31066131413371,25
208,53,Junction,"9th Cross, 4th Main, Jayanagar",56.97,546,547,160,335.9970152596405,31
209,141,Street/Location,13th Main Road,56.82,321,340,96,52.26451956564017,23
210,142,Street/Location,Thanisandra Main Road,56.78,279,359,81,66.13962105206721,30
211,143,Street/Location,Thavarekere Main Road,56.56,330,566,57,62.31850148087685,15
212,144,Street/Location,RT Nagar Main Road,56.51,381,385,135,30.64454182995594,10
213,54,Junction,"Dr. Bheem Rao Palace, Chord Road",56.46,573,673,173,158.69827039695951,24
214,145,Street/Location,Allalasandra Main Road,56.34,382,388,154,98.1344297910837,3
215,146,Street/Location,Dharmambudi Kere Road,56.15,304,320,193,61.09664737871301,7
216,55,Junction,"ESI Hospital, Rajajinagar",56.1,638,641,92,220.59364063840218,28
217,147,Street/Location,60 Feet Road,56.1,247,262,79,101.27184863845656,34
218,148,Street/Location,100 Feet Road,56.01,239,390,84,51.42840852906068,28
219,149,Street/Location,Jumma Masjid Road,55.94,307,329,154,112.80721619771016,5
220,16,Police Station,Byatarayanapura,55.88,4555,5511,1293,1105.6176953485838,234
221,150,Street/Location,13th Cross Road,55.84,233,269,84,68.08295762515758,39
222,151,Street/Location,Padmabhushan Dr RK Srikantan Road,55.76,366,366,100,77.37978163257542,6
223,17,Police Station,High ground,55.75,4951,5049,1926,817.5179323752841,182
224,18,Police Station,Jayanagara,55.55,3813,4922,1884,1050.4424115090364,253
225,152,Street/Location,Haji Ibrahim Sahib Road,55.45,309,309,194,73.50962471218682,4
226,153,Street/Location,Sankey Road,55.42,220,256,154,72.09420732127066,17
227,154,Street/Location,Kariyammana Agrahara Road,55.39,434,557,90,109.68410110240566,1
228,56,Junction,Veeresh Theatre,55.27,504,512,160,139.91828542940175,31
229,155,Street/Location,Banaswadi Main Road,55.27,274,284,78,89.98360871352799,17
230,156,Street/Location,Model Road,55.16,243,277,146,84.0374599250021,10
231,158,Street/Location,27th Main Road,55.1,272,273,144,51.205649708206316,11
232,157,Street/Location,Suranjan Das Road,55.1,263,300,139,56.42708805566876,10
233,159,Street/Location,Dr Vishwesha Teertha Swamy Gala Road,55.01,305,311,124,125.40745579617519,4
234,19,Police Station,Electronic City,54.94,4333,5183,990,1261.840161210391,263
235,160,Street/Location,Murphy Road,54.93,258,368,117,75.47989700050732,7
236,161,Street/Location,41st Cross Road,54.92,353,357,66,104.23434169329363,6
237,20,Police Station,Banaswadi,54.92,3759,5051,1512,1092.539733712738,258
238,57,Junction,Vanivillas,54.81,434,448,186,139.94703735693594,35
239,162,Street/Location,Jakkur Main Road,54.81,636,648,9,177.11737686580744,5
240,163,Street/Location,Magadi Road,54.73,235,345,60,44.08479975565773,30
241,164,Street/Location,Main Road,54.63,315,320,120,62.91663613407419,5
242,21,Police Station,Halasur,54.63,4011,5073,1432,968.0423372149189,239
243,165,Street/Location,Dr MH Ambarish Road,54.48,265,277,151,56.46607385991891,7
244,58,Junction,Hudson Circle,54.48,455,470,198,138.1860574580336,25
245,166,Street/Location,O Shaughnessy Road,54.29,331,331,98,104.415023986972,3
246,167,Street/Location,RV Road,54.18,233,241,112,100.4595984182395,10
247,22,Police Station,Chikkajala,54.1,5834,7485,1257,1499.598989523251,60
248,168,Street/Location,Doddakannelli Road,54.08,245,498,52,66.17964246476537,10
249,59,Junction,"50th cross, 12th Main , Rajajinagar",54.05,455,456,108,130.97857947474364,40
250,169,Street/Location,Hosa Road,54.02,297,338,58,88.59593216843439,8
251,170,Street/Location,Kodigehalli Main Road,53.99,226,381,62,53.59844733401884,16
252,171,Street/Location,60 Feet Main Road,53.98,255,258,141,57.769909244278224,7
253,172,Street/Location,Mallathahalli Road,53.93,331,361,57,61.6403881555994,7
254,60,Junction,JC Road,53.83,372,399,197,136.18329143249153,35
255,61,Junction,"Basava Mantapa, Dr. Rajkumar Road",53.65,425,468,152,113.50227975058627,29
256,173,Street/Location,Broadway Road,53.6,345,348,45,110.19208153922513,5
257,174,Street/Location,1st B Main Road,53.56,314,316,88,32.12286957524771,7
258,23,Police Station,Chamarajpet,53.48,3795,5124,1563,985.2687622560328,184
259,62,Junction,Dhobi Ghat,53.45,382,436,128,87.7683172129502,48
260,175,Street/Location,Aruna Chouhan Muduar Road,53.34,291,292,127,94.97844931061817,2
261,176,Street/Location,Kondajji Basappa Road,53.21,247,253,93,80.20000494001559,7
262,177,Street/Location,Midford Garden Lane,53.2,359,360,62,104.44987646638644,2
263,178,Street/Location,Mariamma Lane,53.03,253,258,175,84.12813759214171,2
264,179,Street/Location,Jewellers Street,52.96,275,275,190,44.83266448766362,2
265,180,Street/Location,MPV Road,52.81,349,389,52,98.108288899498,2
266,24,Police Station,Pulikeshinagar(F.Town),52.8,4136,4478,844,1069.0510245547684,265
267,181,Street/Location,T Mariyappa Road,52.8,276,292,100,52.578518394866286,4
268,182,Street/Location,Hesaraghatta Main Road,52.79,237,247,51,67.68706433788279,16
269,63,Junction,Dairy Circle,52.71,334,457,158,74.73069426146043,38
270,183,Street/Location,Varthur Main Road,52.65,180,343,72,37.25158749023329,16
271,184,Street/Location,Kodigehalli Road,52.64,208,213,58,85.28646355773765,18
272,185,Street/Location,Devasandra Main Road,52.61,218,339,39,94.99560695836107,12
273,64,Junction,Hosur-Tavarkere Road,52.6,360,487,93,78.53031513065707,47
274,186,Street/Location,Rajatha Bhavana Road,52.41,198,281,100,60.591055654233486,7
275,65,Junction,"Cash Pharmacy, Residency Road",52.41,349,413,159,44.222138938604196,46
276,66,Junction,Canara Bank,52.4,358,368,225,94.04655570210137,25
277,187,Street/Location,Ronald Colaco Road,52.37,299,416,102,51.62448707884175,1
278,188,Street/Location,22nd Main Road,52.35,255,255,106,58.29334675009832,4
279,189,Street/Location,District Office Road,52.33,221,233,127,47.13998503290162,6
280,67,Junction,Jai Muni Rao Circle,52.31,409,426,169,88.82465983398579,21
281,190,Street/Location,16th Cross Road,52.26,174,180,96,50.629255766511314,21
282,68,Junction,Syndicate Bank,52.22,351,357,181,99.54722117677281,30
283,191,Street/Location,Bagaluru Main Road,52.1,265,323,40,35.47213769953958,12
284,192,Street/Location,12th Cross Road,51.97,176,186,60,38.94600330320783,36
285,193,Street/Location,Hoodi Main Road,51.96,172,221,61,61.938495310127195,21
286,194,Street/Location,H Siddiah Road,51.94,192,195,98,90.78717386057214,8
287,195,Street/Location,Begur Main Road,51.92,184,308,50,54.181865968059526,15
288,69,Junction,Madiwala Check Post,51.92,368,474,86,93.24172758792662,35
289,196,Street/Location,Robertson Road,51.9,367,402,21,92.11894623644426,4
290,197,Street/Location,RK Road Number 7,51.8,252,264,72,75.2424463884721,4
291,198,Street/Location,Diagonal Road,51.74,221,225,119,45.822542095502754,5
292,70,Junction,Attiguppe Circle,51.71,422,464,86,106.71836032492025,24
293,25,Police Station,Basavanagudi,51.67,3604,3747,1347,1201.697227265446,206
294,199,Street/Location,Sri B Gangaiah Road,51.65,222,271,83,55.33576200189388,5
295,200,Street/Location,Cubbon Road,51.56,207,220,65,44.209836752544724,13
296,201,Street/Location,Sri Venkataranga Iyengar Road,51.49,205,213,109,85.464323232655,4
297,202,Street/Location,Anna Basavanna Road,51.29,184,215,154,39.528846697637604,5
298,203,Street/Location,Hosahalli Main Road,51.29,256,268,57,53.98718353867303,5
299,26,Police Station,Adugodi,50.92,3332,3725,1167,1140.8770407058644,233
300,204,Street/Location,Embassy Tech Square Main Road,50.89,243,382,31,52.26357174544508,6
301,205,Street/Location,JJR Main Road,50.78,226,341,35,50.70384932927689,7
302,206,Street/Location,Laxmana Mudaliar Street,50.72,211,212,167,41.70179188704403,2
303,207,Street/Location,Sha Shi Marulayya Road,50.71,159,162,94,67.1735694219542,11
304,208,Street/Location,Railway Station Road,50.66,187,229,85,39.367714949715406,7
305,210,Street/Location,Gnana Bharathi Road,50.56,257,297,30,105.13189422673989,4
306,209,Street/Location,SM Road,50.56,188,200,48,53.89996222989493,14
307,211,Street/Location,Dhanvanthri Road,50.51,233,233,83,50.14828323160249,3
308,71,Junction,"16th Main Road, BTM Layout",50.5,364,365,91,75.78653886029103,30
309,72,Junction,Katriguppe,50.38,339,367,135,141.9799849449094,16
310,213,Street/Location,Subramanyapura Main Road,50.31,203,329,20,39.66972506530699,18
311,212,Street/Location,Nagarabhavi Main Road,50.31,162,220,59,39.46416412336892,14
312,215,Street/Location,Saunders Road,50.3,295,308,27,45.82194697922994,5
313,214,Street/Location,Pipe Line Road,50.3,174,190,75,60.24850172753754,8
314,73,Junction,Dewan Madhava Rao,50.3,309,310,130,97.70978665331009,29
315,27,Police Station,Wilson Garden,50.22,3108,3206,1406,1101.693036141428,236
316,216,Street/Location,HMT Main Road,50.21,150,340,53,26.910321113934792,12
317,217,Street/Location,Dr Rajgopal Road,50.14,160,161,82,48.4122015444721,12
318,74,Junction,Gopal Gowda Circle,50.06,378,437,113,85.03461316283423,14
319,218,Street/Location,Padmasri CK Venkata Ramaiah Road,50.02,142,169,95,57.368529500283145,10
320,219,Street/Location,Hennur Main Road,50.0,157,173,41,46.888288832214506,26
321,220,Street/Location,Kumar Krupa Road,49.9,188,191,96,39.38343237186907,5
322,28,Police Station,Cubbon Park,49.84,3255,3471,1496,710.1715181124833,213
323,75,Junction,Puttanna,49.81,294,298,155,63.34045092816215,29
324,76,Junction,"27th Cross, 4th Main, Jayanagar",49.8,294,308,228,151.650980500048,12
325,221,Street/Location,27th Cross Road,49.75,135,146,86,42.69736119731536,17
326,222,Street/Location,Kaggadaspura Main Road,49.73,173,198,38,82.80019493544161,11
327,223,Street/Location,Nallurahalli Road,49.71,141,237,92,45.90890544969251,6
328,78,Junction,"9th Cross, 24th Main, JP Nagar",49.67,284,311,112,58.980076805537735,39
329,77,Junction,"Sahasra Hospital, Jayanagar",49.67,362,378,87,73.00082791704006,22
330,224,Street/Location,14th Cross Road,49.57,153,175,42,30.081045386252676,28
331,29,Police Station,Sheshadripuram,49.56,3090,3294,1584,818.9716718088571,207
332,30,Police Station,Ashok Nagar,49.51,3524,3872,1114,648.0254661198144,202
333,225,Street/Location,30th Cross Road,49.5,148,159,83,37.69734021225293,12
334,226,Street/Location,MN Krishnarao Road,49.45,143,262,47,38.80301260521621,12
335,227,Street/Location,Brigade Gateway Road,49.39,166,176,115,44.71465792380751,4
336,228,Street/Location,3rd A Cross Road,49.29,175,186,61,35.03153806416052,9
337,229,Street/Location,Netaji Road,49.24,211,251,24,63.15417915988018,8
338,230,Street/Location,North Park Road,49.23,147,153,123,33.96338403792634,7
339,231,Street/Location,Chikka Banavara RS Road,49.23,235,235,71,36.42129132159222,2
340,79,Junction,Geetha,49.17,287,325,192,70.39499515131156,16
